point id,x-coordinate,y-coordinate,cluster id
0,0.2794127599738962,0.2244709514321472,0
1,0.10405863738714263,0.2401384207883121,0
2,0.34033484166463945,-0.7158051467848927,1
3,-0.38232607327410717,-0.1685428164500638,0
4,0.08242692458953614,0.9220975337551328,2
5,0.18692782308827638,-0.2860956275196192,0
6,0.04324474630043898,-0.3291255577016023,0
7,0.2031159679833284,0.2837564660251318,0
8,0.378475762771898,0.013420670033362808,0
9,-0.7889167348197994,0.7103821360363783,3
10,-0.7962705151404337,-0.44972922414623173,4
11,0.5582061938715234,-0.7954690455353264,1
12,-1.0728203675636463,0.5996854117881302,-1
13,0.2086887466055155,0.23518356159945752,0
14,-0.5622067858808236,0.6659402830340179,3
15,1.034693603165947,-0.035072423805483394,5
16,1.2980519232765633,0.38779617497018715,-1
17,0.17057211187562527,0.5253327655254071,0
18,-0.2828466069289113,0.3179213182285995,0
19,-0.9843730417643988,-0.3475790135002328,6
20,0.4850229238563852,0.9289201450269664,5
21,0.5200707698042579,-0.23270431986216988,0
22,-0.42117968302908315,0.026465806001202997,0
23,0.2853117335793638,0.3381600793848085,0
24,-0.9604788623048303,0.36553266170123433,3
25,0.7058136060589291,-0.6699799181633015,5
26,0.29603233652602146,0.2517670561068883,0
27,-0.38549084032407266,0.03113435500582059,0
28,-0.3693826940751213,0.4018591650752988,0
29,-0.6448622330241325,0.5058923600256375,3
30,0.42548737943934917,-0.0034956366909864034,0
31,-0.45108070021394253,0.7307618647806431,-1
32,0.42479782297386776,-0.054394562738787344,0
33,0.9216923092274335,-0.09531123944025514,5
34,0.1462286830708905,-0.46459794459394127,0
35,-0.40527275697737725,-0.05053260056343957,0
36,-0.16105173288484134,-0.5146705573442812,0
37,0.6075771478755257,0.9788467085954481,5
38,0.003254861946863488,-0.6073102833171807,0
39,-0.7205840816139678,0.42655822635562807,3
40,-0.3232034691625182,-0.30537037189217275,0
41,-0.18959535611640216,-1.057591815231705,4
42,-1.1278220325301327,-0.04275023978178653,3
43,-0.20467319560230202,0.41310286370820803,0
44,-0.3065081620487795,-0.15768260649962418,0
45,0.0010450862920228648,0.6246262698313056,-1
46,-0.12142375903022036,0.5570475974499298,0
47,-0.10081628923378516,-0.5061906933820617,0
48,-0.3278031235705786,-0.07488180297796812,0
49,-0.22008043799377666,-0.3942767335809476,0
50,-0.06543731228864053,-1.1320553667546824,4
51,1.0315624756442046,0.20016621876181956,5
52,0.39806389721227897,-0.0200087979740301,0
53,0.0815897865746921,0.9509220644353089,2
54,0.8957239659686779,-0.1568200305100138,5
55,0.3587813156459628,-0.3474381018991936,0
56,0.35969233338372264,-0.008331589674370699,0
57,-0.5854617584242052,0.7168686105280847,3
58,0.3757850122423314,0.2662865883630848,0
59,-0.2378247488732742,-0.9946020396853992,4
60,0.23739609462252212,0.3728592082743208,0
61,0.4023994683275944,-0.8854421041333355,1
62,0.087762414040157,-1.0481058435125488,4
63,-0.7117355607268279,0.7540699573106129,3
64,-0.9435051016170369,0.8504641503376017,-1
65,-0.9993415808482786,-0.4074259550559035,6
66,-0.6492955629618411,-0.8146938721679584,4
67,-0.7366815610666465,-0.6008954716814383,4
68,-0.05523189512731186,-0.5499440351473657,0
69,-0.5424161458171106,0.6481217043906848,3
70,0.2640141880794231,-0.3180878090496921,0
71,0.9761062338132,-0.30557478987913156,5
72,0.28102320626740696,0.27864359630727775,0
73,0.32860968242030086,-0.7256063126756096,1
74,-0.2180249641483132,0.25653506671166143,0
75,-0.8107652404813908,-0.30467571190569254,-1
76,-0.2787681061165766,-0.2896533414421256,0
77,0.08353720338280887,0.2624758634826113,0
78,0.08354742935889105,-0.31059417123960786,0
79,-0.35128814698735467,-0.10731610102200723,0
80,-0.4383579926153137,0.9102543745092528,7
81,0.41306591475365007,0.882776959497399,5
82,-0.4646021714886593,-0.2166345176509294,0
83,-0.587706543073992,-0.5981615035857168,-1
84,-0.9645643757474068,-0.3492537413279079,6
